clock	tasks	taskCompletionRatio	totalReward
327	5	0.38	300
328	5	0.38	300
329	5	0.38	300
330	5	0.39	300
331	5	0.39	300
332	5	0.39	300
333	5	0.39	300
334	5	0.39	300
335	5	0.39	300
336	5	0.39	300
337	5	0.39	300
338	5	0.4	300
339	5	0.4	300
340	5	0.4	300
341	5	0.4	300
342	5	0.4	300
343	5	0.4	300
344	5	0.41	300
345	5	0.41	300
346	5	0.41	300
347	5	0.41	300
348	5	0.41	300
349	5	0.41	300
350	5	0.42	300
351	5	0.42	300
352	5	0.42	300
353	5	0.42	300
354	5	0.42	300
355	5	0.42	300
356	5	0.43	300
357	5	0.43	300
358	5	0.43	300
359	5	0.43	300
360	5	0.43	300
361	5	0.43	300
362	5	0.43	300
363	5	0.44	300
364	5	0.44	300
365	5	0.44	300
366	5	0.44	300
367	5	0.44	300
368	5	0.44	300
369	5	0.45	300
370	5	0.45	300
371	5	0.45	300
372	5	0.45	300
373	5	0.45	300
374	5	0.45	300
375	5	0.45	300
376	5	0.46	300
377	5	0.46	300
378	5	0.46	300
379	5	0.46	300
380	5	0.46	300
381	5	0.46	300
382	5	0.46	300
383	5	0.47	300
384	5	0.47	300
385	5	0.47	300
386	5	0.47	300
387	5	0.47	300
388	5	0.47	300
389	5	0.47	300
390	5	0.48	385
391	5	0.48	385
392	5	0.48	385
393	5	0.48	385
394	5	0.48	385
395	5	0.48	385
396	5	0.48	449
397	5	0.48	449
398	5	0.48	449
399	5	0.48	449
400	5	0.48	449
401	5	0.48	449
402	5	0.48	449
403	5	0.48	449
404	5	0.48	501
405	5	0.48	501
406	5	0.48	501
407	5	0.48	501
408	5	0.48	501
409	5	0.48	501
410	5	0.48	530
411	5	0.48	530
412	5	0.48	530
413	5	0.48	530
414	5	0.48	530
415	5	0.48	530
416	5	0.48	530
417	5	0.48	530
418	5	0.48	530
419	5	0.48	530
420	5	0.47	530
421	5	0.47	530
422	5	0.47	530
423	5	0.47	530
424	5	0.47	530
425	5	0.47	530
426	5	0.47	530
427	5	0.47	530
428	5	0.47	530
429	5	0.47	530
430	5	0.47	530
431	5	0.47	530
432	5	0.47	530
433	5	0.47	530
434	5	0.47	530
435	5	0.47	530
436	5	0.46	530
437	5	0.46	530
438	5	0.46	560
439	5	0.46	560
440	5	0.46	560
441	5	0.46	560
442	5	0.46	560
443	5	0.46	560
444	5	0.46	560
445	5	0.46	560
446	5	0.46	560
447	5	0.45	560
448	5	0.45	560
449	5	0.45	560
450	5	0.45	560
451	5	0.45	560
452	5	0.45	560
453	5	0.45	560
454	5	0.45	560
455	5	0.45	560
456	5	0.45	560
457	5	0.44	560
458	5	0.44	560
459	6	0.44	560
460	6	0.44	560
461	6	0.44	560
462	6	0.44	560
463	6	0.44	560
464	6	0.44	560
465	6	0.44	560
466	6	0.44	560
467	6	0.43	560
468	6	0.43	560
469	6	0.43	560
470	6	0.43	560
471	6	0.43	560
472	6	0.43	560
473	6	0.43	560
474	6	0.43	560
475	6	0.43	560
